94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,QR5T3,3,3,3,3,3,3,3,3,3,3
94437567,HVU1M,3,3,3,3,2,2,3,3,3,3
94437567,ZCL87,3,3,3,2,1,2,2,1,3,3
94437567,ZCL87,2,3,3,3,3,3,3,3,3,3
94437567,ZCL87,2,2,3,3,3,1,3,3,3,3
94437567,HVU1M,2,3,0,3,1,2,3,2,2,3
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,HVU1M,2,2,2,2,2,2,2,2,3,3
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,QR5T3,3,3,3,3,2,2,2,2,2,3
94437567,ZCL87,2,3,3,3,3,3,3,3,2,3
94437567,HVU1M,2,2,3,2,3,2,2,3,3,3
94437567,HVU1M,2,2,3,3,3,3,3,3,3,3
94437567,QR5T3,2,2,2,2,0,3,2,3,3,3
94437567,QR5T3,2,2,2,2,2,2,2,3,3,3
